,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
212,HEGEWISCH,6.0,58.0,2014-04-01,2014,4,57,2014-05-01
213,AVALON PARK,1.0,140.0,2014-04-01,2014,4,131,2014-05-01
214,OAKLAND,2.0,21.0,2014-04-01,2014,4,50,2014-05-01
215,MOUNT GREENWOOD,11.0,104.0,2014-04-01,2014,4,54,2014-05-01
216,WASHINGTON PARK,4.0,119.0,2014-04-01,2014,4,259,2014-05-01
217,OHARE,1.0,53.0,2014-04-01,2014,4,179,2014-05-01
218,CHATHAM,11.0,298.0,2014-04-01,2014,4,570,2014-05-01
219,FULLER PARK,3.0,40.0,2014-04-01,2014,4,97,2014-05-01
220,AUBURN GRESHAM,22.0,517.0,2014-04-01,2014,4,722,2014-05-01
221,CALUMET HEIGHTS,24.0,157.0,2014-04-01,2014,4,117,2014-05-01
222,SOUTH SHORE,33.0,401.0,2014-04-01,2014,4,805,2014-05-01
223,MORGAN PARK,8.0,207.0,2014-04-01,2014,4,188,2014-05-01
224,GREATER GRAND CROSSING,14.0,231.0,2014-04-01,2014,4,583,2014-05-01
225,WOODLAWN,15.0,103.0,2014-04-01,2014,4,367,2014-05-01
226,WEST GARFIELD PARK,27.0,105.0,2014-04-01,2014,4,530,2014-05-01
227,DOUGLAS,3.0,50.0,2014-04-01,2014,4,241,2014-05-01
228,NORTH LAWNDALE,143.0,248.0,2014-04-01,2014,4,795,2014-05-01
229,LAKE VIEW,541.0,409.0,2014-04-01,2014,4,504,2014-05-01
230,HYDE PARK,12.0,172.0,2014-04-01,2014,4,130,2014-05-01
231,EDGEWATER,113.0,210.0,2014-04-01,2014,4,209,2014-05-01
232,MONTCLARE,18.0,137.0,2014-04-01,2014,4,41,2014-05-01
233,ARMOUR SQUARE,60.0,111.0,2014-04-01,2014,4,129,2014-05-01
234,ASHBURN,105.0,354.0,2014-04-01,2014,4,248,2014-05-01
235,DUNNING,59.0,457.0,2014-04-01,2014,4,144,2014-05-01
236,NORTH CENTER,306.0,207.0,2014-04-01,2014,4,128,2014-05-01
237,WEST ENGLEWOOD,44.0,180.0,2014-04-01,2014,4,674,2014-05-01
238,ARCHER HEIGHTS,461.0,140.0,2014-04-01,2014,4,100,2014-05-01
239,NORWOOD PARK,10.0,537.0,2014-04-01,2014,4,107,2014-05-01
240,ENGLEWOOD,23.0,146.0,2014-04-01,2014,4,622,2014-05-01
241,HUMBOLDT PARK,193.0,469.0,2014-04-01,2014,4,872,2014-05-01
242,KENWOOD,5.0,56.0,2014-04-01,2014,4,135,2014-05-01
243,ROSELAND,16.0,366.0,2014-04-01,2014,4,683,2014-05-01
244,WEST PULLMAN,21.0,150.0,2014-04-01,2014,4,460,2014-05-01
245,LINCOLN PARK,276.0,280.0,2014-04-01,2014,4,373,2014-05-01
246,WEST RIDGE,333.0,593.0,2014-04-01,2014,4,306,2014-05-01
247,NEAR WEST SIDE,414.0,510.0,2014-04-01,2014,4,646,2014-05-01
248,LOOP,178.0,226.0,2014-04-01,2014,4,627,2014-05-01
249,MCKINLEY PARK,407.0,102.0,2014-04-01,2014,4,109,2014-05-01
250,PORTAGE PARK,451.0,487.0,2014-04-01,2014,4,291,2014-05-01
251,EAST GARFIELD PARK,49.0,146.0,2014-04-01,2014,4,525,2014-05-01
